hardware_keywords,software_keywords,urgency_score,log_lines_attached,reporter_seniority,hour_of_day,category
8,2,2.4,69,3,18,Hardware
4,5,7.9,98,5,10,Performance
2,7,2.2,13,3,13,Firmware
1,8,2.1,34,1,6,Software
0,3,8.3,57,3,20,Security
0,9,2.6,133,2,16,Software
10,2,3.3,45,2,4,Hardware
2,0,4.3,53,2,15,Firmware
7,0,3.5,59,5,7,Hardware
3,4,7.3,79,1,0,Security
5,3,7.3,143,5,1,Performance
2,9,1.9,60,5,21,Software
6,4,4.4,51,1,16,Firmware
9,1,2.6,63,3,18,Hardware
0,10,4.4,138,5,21,Software
0,6,1.7,118,4,10,Software
9,1,3.5,6,4,23,Hardware
1,6,7.4,106,4,6,Security
12,1,3.0,35,4,11,Hardware
3,3,1.6,32,3,6,Hardware
8,0,2.7,24,4,16,Hardware
1,9,9.4,90,2,22,Security
1,4,6.3,39,4,1,Security
5,1,4.5,54,2,8,Firmware
6,0,3.4,19,5,19,Hardware
7,0,3.7,73,4,0,Hardware
1,6,3.3,82,4,12,Firmware
0,0,1.0,23,5,23,Documentation
3,5,7.7,59,3,22,Security
1,9,3.3,56,5,22,Software
0,11,2.7,117,1,20,Software
8,0,2.4,21,1,6,Hardware
1,9,2.5,13,5,18,Software
5,4,4.8,44,2,18,Firmware
6,2,4.2,41,2,2,Hardware
3,4,5.5,54,1,18,Performance
6,5,3.6,79,5,15,Firmware
10,3,3.6,18,2,6,Hardware
2,8,4.0,56,2,0,Software
1,11,3.3,43,4,22,Software
2,1,1.0,4,1,13,Documentation
10,0,4.1,69,2,15,Hardware
7,0,2.5,61,5,5,Hardware
2,2,6.2,128,3,16,Performance
5,6,4.1,21,5,15,Firmware
2,8,8.5,92,5,6,Security
2,5,10.0,65,2,13,Security
2,4,4.0,70,2,1,Firmware
0,3,5.9,84,1,13,Performance
6,2,4.2,44,2,13,Firmware
1,6,3.5,59,2,12,Firmware
0,1,1.0,25,3,5,Documentation
1,8,3.3,56,5,12,Software
0,6,4.6,136,4,10,Software
5,0,6.5,83,4,10,Performance
6,0,4.9,20,3,19,Hardware
1,6,2.8,5,1,13,Software
2,6,8.5,72,2,19,Security
2,9,3.4,98,3,9,Software
3,0,6.3,5,3,2,Performance
4,0,4.5,54,4,17,Firmware
0,4,4.9,140,2,16,Performance
0,10,5.0,0,4,3,Software
1,9,7.8,73,2,8,Security
1,8,7.2,37,1,13,Security
1,8,8.5,87,1,22,Security
2,4,4.8,54,2,0,Firmware
1,3,1.0,28,4,3,Documentation
4,1,3.9,52,1,3,Hardware
2,4,2.4,20,4,7,Firmware
5,0,2.7,19,3,4,Hardware
5,3,4.6,69,4,2,Firmware
1,4,8.3,94,5,9,Security
0,11,4.5,97,3,22,Software
4,0,5.3,40,4,0,Firmware
0,11,3.9,58,4,0,Software
1,11,3.5,79,3,9,Software
2,9,3.8,27,2,1,Software
0,10,4.4,58,1,14,Software
2,3,5.2,31,5,3,Firmware
2,3,9.1,98,2,3,Security
2,2,8.4,76,2,22,Security
4,0,5.7,44,4,8,Hardware
8,2,4.1,36,2,0,Hardware
3,4,8.4,79,5,7,Security
2,3,1.5,1,3,13,Documentation
7,2,1.2,33,3,1,Hardware
2,4,6.4,36,5,6,Firmware
0,9,4.0,69,5,3,Software
5,0,4.8,76,4,8,Hardware
2,3,6.7,149,3,5,Performance
1,5,3.1,81,4,9,Performance
1,2,1.5,28,2,20,Documentation
0,3,6.6,59,4,22,Performance
0,8,3.1,43,5,1,Software
9,2,4.3,29,5,3,Hardware
9,0,3.4,46,2,7,Hardware
1,2,9.0,69,4,15,Security
6,2,3.2,73,2,8,Hardware
2,3,6.8,78,4,10,Security
0,0,2.2,2,1,15,Documentation
0,11,2.7,120,2,19,Software
3,4,3.0,73,3,2,Firmware
2,3,3.7,157,3,18,Performance
5,2,6.1,73,2,13,Performance
6,3,4.7,73,4,7,Performance
7,1,2.8,44,1,1,Hardware
2,2,1.6,52,2,0,Documentation
1,8,3.0,109,2,11,Software
3,0,5.1,145,3,22,Performance
2,8,2.0,110,4,18,Software
7,5,3.5,54,5,21,Firmware
1,6,8.1,99,2,13,Security
10,0,4.0,39,5,2,Hardware
8,0,1.9,73,2,20,Hardware
1,6,3.4,76,2,6,Software
6,0,2.3,59,2,10,Hardware
7,1,4.3,37,3,13,Hardware
0,11,3.4,79,1,18,Software
0,2,2.4,39,3,18,Firmware
0,9,4.8,66,4,17,Software
3,6,2.8,67,1,12,Firmware
2,9,4.4,67,2,2,Software
2,2,1.0,30,4,16,Documentation
2,8,2.8,40,4,16,Software
5,1,4.4,69,2,0,Firmware
5,1,4.3,151,2,3,Performance
8,0,2.7,34,4,19,Hardware
6,1,5.4,75,5,14,Performance
3,9,3.2,107,4,5,Software
2,11,2.6,106,4,16,Software
0,4,1.6,47,3,16,Documentation
0,2,1.0,60,4,11,Documentation
6,0,4.9,22,2,7,Hardware
2,1,4.6,42,2,17,Firmware
0,9,3.7,77,1,23,Software
2,3,6.0,37,3,22,Security
0,11,4.5,70,3,11,Software
10,0,5.1,46,1,20,Hardware
9,0,3.0,30,2,7,Hardware
1,10,2.9,47,3,17,Software
1,8,2.6,38,5,0,Software
8,1,2.6,78,4,16,Hardware
9,1,3.5,0,4,5,Hardware
10,0,3.1,60,4,15,Hardware
3,0,2.9,58,3,3,Hardware
2,7,2.1,69,1,3,Software
1,2,1.0,37,5,1,Documentation
1,9,8.4,44,5,7,Security
7,0,2.3,70,4,20,Hardware
0,1,1.0,0,3,15,Documentation
0,7,10.0,69,2,6,Security
3,7,5.5,59,3,8,Firmware
3,5,6.0,162,5,18,Performance
4,1,2.3,30,1,9,Hardware
1,1,1.0,22,1,17,Documentation
0,3,5.9,69,3,23,Firmware
7,0,3.6,32,2,2,Hardware
4,3,6.4,144,5,8,Performance
0,7,2.4,62,5,7,Software
2,8,3.4,78,1,22,Software
7,0,5.8,43,2,18,Hardware
0,7,2.3,28,1,8,Software
11,1,3.0,18,5,19,Hardware
0,3,1.0,41,5,23,Documentation
4,3,5.0,86,5,17,Performance
8,0,3.5,34,4,5,Hardware
1,2,1.0,27,1,16,Documentation
11,2,4.0,74,3,22,Hardware
3,5,3.6,113,1,0,Firmware
1,7,4.7,44,1,10,Firmware
0,8,1.5,49,2,6,Software
0,1,1.3,28,3,19,Documentation
1,7,1.2,94,4,15,Software
9,0,1.1,79,4,13,Hardware
0,11,2.2,88,3,22,Software
1,3,7.4,75,3,4,Security
3,4,2.0,66,2,18,Firmware
4,0,1.4,48,5,17,Hardware
2,5,5.5,172,5,20,Performance
3,3,3.6,102,2,0,Firmware
6,1,3.7,24,1,1,Hardware
0,1,1.0,20,3,4,Documentation
0,0,1.1,37,3,5,Documentation
6,5,4.4,93,1,19,Firmware
4,2,3.9,70,3,20,Firmware
1,2,6.6,2,3,5,Firmware
7,2,2.9,51,5,0,Hardware
1,0,1.1,13,3,23,Documentation
5,1,3.8,88,2,16,Firmware
0,1,1.0,37,1,13,Documentation
6,2,4.1,0,5,11,Firmware
5,1,3.6,43,3,2,Hardware
0,5,8.1,73,1,19,Security
0,0,1.0,15,5,8,Documentation
4,4,6.4,109,2,8,Performance
6,0,2.9,20,3,18,Firmware
6,3,2.8,47,4,19,Firmware
2,2,7.5,172,2,0,Performance
0,4,1.7,42,4,23,Software
2,6,1.8,62,5,14,Software
12,3,3.7,74,2,21,Hardware
2,3,8.4,98,3,19,Security
7,7,4.1,42,5,23,Firmware
6,6,5.0,69,2,7,Firmware
8,1,3.7,47,3,22,Hardware
0,8,9.5,71,2,5,Security
8,2,6.3,47,5,0,Hardware
1,1,1.0,36,1,2,Documentation
5,0,3.0,82,1,20,Hardware
1,9,3.4,119,2,17,Software
6,0,7.2,14,4,3,Performance
0,1,3.2,38,3,13,Firmware
6,1,2.7,32,2,23,Hardware
0,2,1.9,41,2,4,Documentation
4,4,3.6,50,5,10,Firmware
8,1,3.9,22,1,12,Hardware
1,3,1.0,17,1,18,Documentation
0,8,2.6,28,4,5,Software
0,8,1.7,51,5,8,Software
2,9,4.4,31,3,22,Software
2,4,7.7,68,2,8,Security
4,6,4.4,37,3,7,Firmware
4,4,3.8,83,3,4,Firmware
3,0,2.8,60,1,15,Firmware
9,3,2.5,2,2,3,Hardware
2,1,2.7,64,4,0,Firmware
1,6,3.3,89,5,0,Firmware
0,12,2.9,88,3,13,Software
2,6,9.0,38,5,2,Security
4,1,2.2,68,4,7,Hardware
2,2,7.3,90,1,1,Performance
7,0,2.7,56,3,11,Hardware
7,1,4.4,53,4,10,Hardware
0,8,4.4,21,3,20,Software
2,8,5.9,92,4,8,Software
0,8,4.7,100,3,0,Software
1,3,1.0,54,3,22,Documentation
8,1,3.9,6,2,19,Hardware
0,8,2.9,68,1,11,Software
3,2,8.0,118,1,3,Performance
2,4,3.5,85,3,17,Firmware
5,0,3.7,58,3,4,Hardware
8,0,3.6,38,4,8,Hardware
7,0,4.7,53,2,11,Hardware
9,1,2.5,44,3,12,Hardware
1,3,1.4,47,2,5,Documentation
2,6,2.7,108,1,22,Software
1,5,7.9,39,2,0,Security
1,2,4.3,31,5,16,Firmware
0,2,1.0,25,1,15,Documentation
1,0,8.0,73,5,22,Security
3,3,1.0,23,4,12,Documentation
0,1,1.0,41,3,22,Documentation
0,1,1.0,41,3,2,Documentation
9,0,2.1,38,3,6,Hardware
2,0,8.6,60,3,23,Security
0,10,2.8,79,3,1,Software
0,1,5.0,114,5,1,Performance
3,5,5.0,42,2,18,Firmware
4,5,2.4,100,1,20,Firmware
4,4,6.6,29,1,8,Firmware
4,1,6.4,60,3,7,Performance
1,2,1.3,9,5,11,Documentation
1,2,9.2,65,5,13,Security
0,12,2.3,81,2,16,Software
4,5,4.4,35,5,14,Firmware
0,7,2.6,118,4,15,Software
6,4,3.3,140,3,11,Performance
0,10,2.6,62,4,10,Software
3,1,3.0,0,3,16,Hardware
0,1,1.0,29,4,3,Documentation
2,1,1.3,34,2,9,Documentation
6,3,7.9,62,5,14,Performance
1,8,2.2,119,3,18,Software
0,11,3.0,50,3,23,Software
0,2,1.2,21,4,4,Documentation
4,0,3.7,20,5,17,Hardware
2,2,5.7,108,3,12,Performance
6,5,4.5,39,2,5,Firmware
3,7,3.3,67,3,9,Software
1,3,8.5,89,3,6,Security
2,5,4.2,29,1,23,Performance
1,1,1.2,6,4,10,Documentation
3,3,5.5,77,5,15,Performance
1,9,3.7,108,4,18,Software
1,12,3.7,60,2,2,Software
0,2,1.5,41,5,23,Documentation
0,3,4.2,67,4,23,Firmware
1,4,3.8,14,3,15,Firmware
9,2,3.3,90,1,21,Hardware
0,9,3.4,107,4,5,Software
0,7,2.9,82,2,18,Software
0,1,1.0,14,4,6,Documentation
1,7,3.7,59,1,2,Software
1,7,3.2,71,4,18,Software
0,4,1.8,54,4,8,Software
2,4,8.1,106,4,2,Security
4,3,7.2,118,5,20,Performance
3,2,4.5,134,4,0,Performance
8,0,2.6,60,5,22,Hardware
5,2,3.9,60,2,15,Firmware
4,8,2.4,66,2,21,Firmware
0,2,1.0,20,5,10,Documentation
6,2,3.2,64,1,6,Hardware
8,2,1.0,34,5,22,Hardware
2,4,7.7,122,4,15,Performance
6,1,1.5,37,5,0,Hardware
1,7,7.7,64,2,17,Security
1,2,1.0,19,1,18,Documentation
4,3,5.0,0,2,10,Performance
6,7,6.4,63,4,9,Performance
0,12,2.9,102,4,10,Software
7,2,3.0,38,4,11,Hardware
1,5,5.3,132,4,13,Performance
0,10,3.2,83,3,12,Software
6,6,5.3,163,2,3,Performance
8,1,4.5,48,1,16,Hardware
6,2,3.5,92,4,1,Firmware
2,6,8.2,64,3,5,Security
2,4,5.7,0,3,2,Firmware
3,4,7.9,69,4,8,Security
1,3,1.1,29,1,4,Documentation
1,11,2.9,154,1,18,Software
8,1,3.4,56,3,7,Hardware
6,1,4.2,73,4,4,Hardware
5,1,1.4,68,3,12,Hardware
1,2,1.0,45,4,5,Documentation
7,0,1.2,45,1,14,Hardware
12,0,1.9,27,5,22,Hardware
1,7,8.3,49,5,11,Security
3,3,4.9,42,2,12,Firmware
1,1,6.1,62,2,5,Security
6,0,3.9,28,4,9,Hardware
3,3,2.2,43,3,14,Firmware
12,1,4.3,41,2,14,Hardware
0,1,1.8,42,3,10,Documentation
3,5,8.1,89,1,3,Security
3,5,3.4,15,3,8,Firmware
1,2,1.0,51,5,6,Documentation
3,3,2.2,42,4,18,Software
3,2,4.2,70,4,6,Firmware
1,9,2.3,92,1,7,Software
1,1,1.0,38,5,17,Documentation
7,0,1.9,56,2,21,Hardware
1,7,3.3,75,3,2,Software
3,3,1.9,81,4,14,Firmware
11,0,2.5,27,5,0,Hardware
0,3,1.6,23,2,4,Documentation
0,9,3.4,63,4,12,Software
6,0,4.3,45,3,18,Hardware
2,0,4.8,153,2,9,Performance
6,3,4.5,89,3,20,Firmware
0,2,1.0,17,1,15,Documentation
8,1,2.9,27,5,8,Hardware
3,6,4.8,159,4,19,Performance
3,3,5.4,84,4,5,Performance
5,3,5.0,141,3,17,Performance
9,3,4.2,27,2,14,Hardware
2,7,7.6,88,2,18,Security
6,5,10.0,58,5,17,Performance
1,7,3.4,55,1,7,Firmware
0,8,2.9,103,1,0,Software
6,2,6.5,79,1,1,Performance
3,7,1.9,76,3,1,Software
2,4,10.0,62,1,23,Security
0,0,1.0,47,4,10,Documentation
1,4,8.0,80,4,13,Security
0,9,4.1,93,1,10,Software
6,6,2.9,39,1,0,Firmware
3,7,4.3,91,5,2,Firmware
7,1,4.0,79,2,22,Hardware
0,4,6.4,118,1,11,Performance
1,1,1.2,25,5,19,Documentation
0,0,1.8,48,4,23,Documentation
1,3,3.9,99,4,15,Firmware
2,8,3.1,100,3,2,Software
1,8,3.2,109,1,15,Firmware
0,6,3.7,49,2,15,Software
1,0,1.0,24,5,5,Documentation
1,3,7.6,95,5,11,Security
0,2,1.3,30,1,1,Documentation
6,0,2.6,70,4,12,Hardware
2,11,3.7,64,2,5,Software
4,1,2.4,43,2,22,Hardware
2,6,6.7,47,2,2,Security
1,6,2.6,73,5,23,Software
4,5,5.0,40,1,18,Performance
7,0,2.6,23,4,13,Hardware
0,0,4.4,87,3,15,Firmware
1,4,7.1,64,1,8,Security
3,5,7.8,70,2,15,Security
0,8,5.5,76,3,13,Software
0,0,1.4,40,2,17,Documentation
1,4,5.5,48,1,7,Performance
1,7,3.4,73,4,17,Software
7,3,3.8,65,5,20,Firmware
0,3,4.0,69,1,18,Firmware
4,0,4.6,77,1,2,Hardware
0,3,3.8,50,4,19,Firmware
3,3,5.5,80,3,2,Firmware
0,7,2.3,93,1,8,Software
7,0,3.4,55,5,18,Hardware
5,0,4.4,57,5,6,Firmware
1,8,1.8,56,1,10,Software
6,1,3.3,39,1,22,Hardware
6,2,5.9,83,1,16,Performance
0,6,8.6,92,4,12,Security
1,2,1.0,26,3,19,Documentation
4,0,3.9,42,5,0,Hardware
2,4,7.5,32,4,6,Security
1,2,1.0,65,3,7,Documentation
2,3,4.9,96,4,13,Performance
2,5,3.4,81,1,8,Firmware
8,1,2.1,61,2,21,Hardware
3,5,3.4,117,3,5,Performance
4,1,4.1,71,4,19,Performance
1,1,1.0,43,3,6,Documentation
6,7,4.0,100,3,15,Firmware
7,3,4.1,69,5,6,Hardware
2,5,4.7,37,2,17,Firmware
7,4,2.4,54,1,3,Hardware
7,3,3.1,51,2,11,Hardware
1,5,4.1,45,1,15,Software
8,1,4.6,83,2,17,Hardware
4,4,4.9,4,2,3,Firmware
11,2,1.9,1,3,16,Hardware
3,4,3.6,67,3,5,Firmware
7,2,4.3,86,4,20,Firmware
3,3,5.8,122,5,15,Performance
1,8,2.9,69,3,8,Software
6,2,4.0,55,2,4,Firmware
1,6,1.9,85,2,1,Software
1,10,2.2,107,2,1,Software
10,1,3.1,43,5,21,Hardware
9,0,1.3,72,2,9,Hardware
4,4,3.0,96,2,9,Firmware
3,11,1.5,87,3,18,Software
1,7,4.2,97,2,5,Software
6,4,5.0,66,5,14,Firmware
2,3,4.3,66,3,7,Performance
4,7,3.9,120,1,16,Firmware
2,8,2.4,108,4,13,Software
2,10,4.3,66,1,0,Software
0,7,4.0,90,1,10,Software
10,1,3.8,10,1,21,Hardware
1,11,2.4,97,4,16,Software
8,1,2.7,59,5,20,Hardware
8,1,1.4,49,1,11,Hardware
1,3,9.2,73,3,8,Performance
0,9,3.2,85,4,12,Software
1,0,1.0,22,5,3,Documentation
1,6,6.2,60,5,17,Security
0,8,2.8,64,4,15,Software
2,0,8.4,28,4,23,Security
0,2,1.0,23,1,20,Documentation
4,2,5.6,126,1,0,Performance
3,1,2.3,51,2,8,Hardware
1,0,1.0,20,4,5,Documentation
0,7,2.0,76,3,4,Software
6,3,8.5,99,3,5,Performance
2,11,3.5,83,2,14,Software
3,3,1.3,45,1,11,Documentation
4,1,4.4,89,2,0,Firmware
8,2,2.1,37,5,14,Firmware
2,5,7.6,69,4,18,Security
1,9,2.9,101,4,10,Software
2,5,7.2,110,5,1,Security
1,0,1.0,9,4,9,Documentation
6,1,3.7,92,3,13,Firmware
0,8,2.5,50,4,8,Software
3,8,3.9,78,5,14,Software
4,3,4.1,68,3,8,Firmware
1,8,3.3,44,4,9,Software
0,3,10.0,95,2,15,Security
1,0,5.2,32,5,19,Firmware
1,2,1.7,34,1,1,Documentation
0,1,6.0,99,5,3,Performance
8,0,2.7,37,5,4,Hardware
5,0,6.7,122,2,8,Performance
6,0,1.9,84,4,18,Hardware
6,7,5.1,57,1,9,Performance
6,3,5.0,84,5,6,Performance
2,2,3.9,76,3,6,Firmware
2,3,1.0,4,5,9,Documentation
4,2,3.8,37,2,9,Hardware
6,0,2.5,77,4,17,Hardware
1,2,1.0,29,3,7,Documentation
0,0,2.0,0,5,11,Documentation
0,1,1.0,26,4,17,Documentation
4,0,3.1,39,1,9,Hardware
8,1,1.3,60,3,16,Hardware
1,11,2.3,101,3,7,Software
0,9,2.8,82,5,11,Software
0,14,2.4,78,4,2,Software
4,1,3.8,94,3,21,Firmware
8,1,2.9,60,3,10,Hardware
0,4,3.4,87,3,16,Software
0,2,1.1,10,2,8,Documentation
1,0,7.7,159,1,10,Performance
2,5,4.0,59,2,22,Firmware
10,1,2.1,44,3,23,Hardware
1,8,1.6,92,1,11,Software
2,7,5.7,90,5,5,Firmware
3,3,3.5,45,3,19,Firmware
4,2,6.8,78,3,12,Performance
0,7,3.5,64,3,6,Firmware
3,2,4.7,66,3,9,Performance
8,1,2.7,56,3,14,Hardware
0,2,1.0,33,4,23,Documentation
5,4,4.3,104,5,8,Firmware
2,1,6.2,64,1,21,Security
7,1,3.2,69,2,4,Firmware
5,0,4.4,100,3,8,Performance
3,0,6.1,58,1,13,Performance
2,9,4.6,107,3,22,Software
5,1,1.5,50,1,21,Hardware
5,1,1.4,63,5,2,Firmware
3,7,4.2,63,3,7,Firmware
0,5,5.8,81,3,10,Performance
0,2,9.1,55,1,1,Security
1,1,1.3,44,2,11,Documentation
1,0,3.9,65,5,1,Firmware
1,6,6.7,29,1,1,Performance
0,7,1.0,36,5,4,Software
0,5,1.9,78,3,18,Software
2,0,9.8,138,4,22,Performance
0,9,3.6,76,1,15,Software
1,3,1.0,29,2,6,Documentation
6,1,1.0,28,4,8,Hardware
0,9,3.3,141,4,0,Software
0,8,2.8,91,1,5,Software
3,0,6.2,99,5,11,Performance
3,4,7.8,81,3,10,Security
0,1,1.0,34,4,20,Documentation
0,2,1.3,32,2,3,Documentation
8,1,3.3,48,2,12,Hardware
0,7,5.5,65,4,0,Software
0,6,1.8,83,4,19,Software
0,2,1.0,23,5,9,Documentation
9,0,1.6,65,4,16,Hardware
1,11,3.0,45,4,20,Software
6,4,4.2,155,2,17,Performance
5,0,2.2,57,1,13,Hardware
7,1,5.5,87,3,21,Firmware
1,9,7.0,110,3,12,Security
9,2,2.3,59,5,8,Hardware
2,2,1.0,19,4,13,Documentation
2,9,3.6,131,4,12,Software
0,8,3.4,132,4,17,Software
9,1,2.1,24,2,18,Hardware
1,4,8.4,108,3,12,Security
0,6,2.8,36,1,16,Software
2,5,2.8,97,5,15,Software
1,5,9.2,49,1,20,Security
10,1,3.9,34,3,11,Hardware
11,2,3.4,53,5,19,Hardware
2,9,4.5,126,4,6,Software
2,3,5.2,100,1,17,Performance
0,9,2.2,75,2,22,Software
2,2,6.5,118,2,2,Security
0,12,1.9,48,2,16,Software
5,2,2.5,14,1,13,Hardware
10,1,2.4,60,2,23,Hardware
2,4,5.1,73,2,6,Firmware
8,1,4.1,76,1,14,Hardware
2,1,5.0,6,5,23,Performance
3,5,6.9,25,4,2,Security
0,2,1.7,12,1,20,Documentation
3,4,7.9,73,5,21,Security
8,2,5.0,95,1,23,Hardware
5,3,3.6,70,2,3,Firmware
6,3,3.0,60,4,14,Firmware
7,2,2.1,37,5,2,Hardware
1,0,1.3,19,1,14,Documentation
0,7,1.0,86,2,21,Software
0,3,1.2,29,1,4,Documentation
0,7,3.7,104,3,0,Software
0,7,2.8,70,5,19,Software
6,2,1.4,34,1,18,Hardware
5,3,5.1,57,4,16,Firmware
5,3,3.2,49,3,20,Firmware
2,7,2.3,81,5,9,Software
3,6,4.1,93,5,19,Performance
1,8,2.9,78,1,14,Software
7,1,3.6,4,1,11,Hardware
4,2,4.8,34,3,2,Firmware
2,3,4.6,79,5,22,Firmware
2,12,2.4,80,4,15,Software
2,0,7.3,67,2,18,Performance
0,2,1.0,19,2,20,Documentation
5,2,4.6,43,5,15,Firmware
12,0,1.2,15,3,21,Hardware
6,2,8.5,87,5,4,Performance
5,2,6.4,50,4,20,Performance
10,0,5.1,43,1,22,Hardware
7,1,2.4,15,2,5,Hardware
7,0,2.2,46,2,18,Hardware
2,8,4.1,51,2,3,Software
2,4,4.3,65,3,1,Firmware
9,1,2.0,42,4,23,Hardware
7,1,3.3,68,3,1,Hardware
7,0,3.5,62,5,0,Hardware
1,9,2.5,96,5,14,Software
1,7,8.7,61,5,0,Security
3,5,4.2,54,3,2,Firmware
0,1,2.4,22,3,18,Documentation
0,9,3.5,144,5,8,Software
5,0,1.5,47,4,23,Hardware
1,2,1.0,54,2,23,Documentation
2,2,8.9,108,4,7,Security
0,7,1.2,76,4,10,Software
6,0,3.3,78,5,7,Hardware
1,8,3.9,69,2,4,Software
0,7,4.1,25,4,13,Software
1,1,6.4,45,4,11,Security
2,1,1.0,30,2,6,Documentation
2,5,3.1,50,5,17,Firmware
0,2,1.6,35,5,3,Documentation
0,6,8.9,67,5,15,Security
7,0,4.0,17,3,13,Hardware
1,1,1.7,64,4,14,Documentation
1,6,8.2,24,3,2,Performance
2,3,7.9,96,4,14,Security
9,2,2.4,69,1,9,Hardware
10,0,2.8,58,1,12,Hardware
0,3,1.0,27,4,6,Documentation
1,1,1.0,36,3,16,Documentation
0,10,4.1,0,5,4,Software
0,2,8.9,59,2,16,Security
10,0,2.0,47,5,10,Hardware
4,2,6.3,134,4,10,Performance
0,4,7.9,92,5,12,Security
10,2,2.6,48,4,16,Firmware
10,1,1.3,59,5,9,Hardware
1,1,2.1,46,4,22,Documentation
9,0,3.5,39,2,14,Hardware
1,3,1.5,43,4,5,Documentation
3,5,3.2,73,5,22,Firmware
1,3,6.0,86,4,21,Firmware
1,12,2.9,69,5,22,Software
1,2,5.2,171,1,22,Performance
3,2,7.7,55,1,13,Performance
3,3,3.7,64,4,16,Firmware
1,4,6.4,34,5,3,Performance
4,3,5.2,102,1,12,Performance
0,2,1.0,46,2,17,Documentation
1,4,8.8,35,1,21,Performance
2,8,2.6,116,3,4,Software
8,0,4.7,34,1,19,Hardware
1,4,1.4,66,4,16,Firmware
9,0,2.9,18,5,20,Hardware
0,4,5.1,77,4,1,Firmware
3,7,2.9,63,2,7,Firmware
0,11,4.2,37,3,14,Software
0,4,2.1,65,2,21,Software
8,0,3.6,16,2,17,Hardware
0,0,1.4,41,1,12,Documentation
7,1,2.9,47,2,10,Hardware
1,12,3.5,53,4,15,Software
9,0,3.2,12,4,9,Hardware
1,6,3.7,66,5,4,Software
4,2,3.4,71,2,15,Firmware
3,3,2.6,67,2,3,Firmware
2,3,6.2,74,5,21,Performance
1,6,2.9,88,2,4,Software
2,4,6.8,55,2,23,Security
0,2,5.6,78,2,10,Performance
11,1,4.1,50,4,3,Hardware
2,9,2.2,16,2,1,Software
0,9,2.3,58,5,14,Software
0,11,2.5,80,1,3,Software
2,2,7.0,114,1,22,Performance
0,6,4.3,66,1,0,Software
1,8,4.1,52,2,6,Software
0,8,2.4,43,3,15,Software
0,8,2.9,142,1,7,Software
0,4,3.3,55,3,8,Software
2,10,3.7,84,3,11,Software
2,1,1.0,11,5,5,Documentation
1,1,1.0,49,1,9,Documentation
6,0,3.8,63,3,12,Firmware
7,2,3.9,40,4,16,Firmware
5,1,4.8,53,4,22,Firmware
1,6,4.1,55,2,20,Firmware
9,4,3.4,69,1,21,Firmware
3,4,8.0,37,1,16,Security
1,2,1.3,38,4,14,Documentation
